ATC Catalogue;;;;
anatomical_grp;therapeutic_subgrp;pharmacol_subgrp;chem_subgrp;chem_substance
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX17 - topotecan
N - NERVOUS SYSTEM DRUGS;N03 - ANTIEPILEPTICS;N03A - ANTIEPILEPTICS;N03AX - Other antiepileptics in ATC;N03AX03 - sultiame
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A11 - VITAMINS;A11D - VITAMIN B1 -  PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12;A11DA - Vitamin B1 -  plain;A11DA03 - benfotiamine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07B - VIRAL VACCINES;J07BD - Measles vaccines;J07BD54 - measles -  combinations with mumps -  rubella and varicella -  live attenuated
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06B - PSYCHOSTIMULANTS -  AGENTS USED FOR ADHD AND NOOTROPICS;N06BA - Centrally acting sympathomimetics;N06BA04 - methylphenidate
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A06 - DRUGS FOR CONSTIPATION;A06A - DRUGS FOR CONSTIPATION;A06AG - Enema for Constipation;A06AG11 - sodium lauryl sulfoacetate -  incl. combinations
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03D - PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03DB - Pregnadien derivatives -  progestogens;G03DB04 - nomegestrol
C - CARDIOVASCULAR SYSTEM DRUGS;C04 - PERIPHERAL VASODILATORS;C04A - PERIPHERAL VASODILATORS;C04AD - Purine derivatives -  peripheral vasodilators;C04AD03 - pentoxifylline
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AA - Vitamin K antagonists;B01AA11 - tioclomarol
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX61 - copanlisib
R - RESPIRATORY SYSTEM DRUGS;R02 - THROAT PREPARATIONS;R02A - THROAT PREPARATIONS;R02AA - Antiseptic throat preparations;R02AA20 - various antiseptic throat preparations
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10A - INSULINS AND ANALOGUES;A10AC - Insulins and analogues for injection -  intermediate-acting;A10AC01 - insulin (human)
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01B - NASAL DECONGESTANTS FOR SYSTEMIC USE;R01BA - Sympathomimetics;R01BA02 - pseudoephedrine
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BX - Other anxiolytics in ATC;N05BX01 - mephenoxalone
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10X - OTHER DRUGS USED IN DIABETES in ATC;A10XA - Aldose reductase inhibitors used in diabetes;A10XA01 - tolrestat
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE03 - erlotinib
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AB - Interferons;L03AB14 - cepeginterferon alfa-2b
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CD - Benzodiazepine derivative hypnotics and sedatives;N05CD04 - estazolam
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AD - Butyrophenone derivatives -  antipsychotics;N05AD06 - bromperidol
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AF - Imidazole derivatives -  gyncological antiinfectives;G01AF12 - fenticonazole
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03C - ESTROGENS -  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03CA - Natural and semisynthetic estrogens -  plain;G03CA04 - estriol
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05C - IRRIGATING SOLUTIONS -  BLOOD SUBSTITUTES AND PERFUSION;B05CA - Antiinfective irrigating solutions;B05CA02 - chlorhexidine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BH - Dipeptidyl peptidase 4 (DPP-4) inhibitors for blood glucose lowering;A10BH07 - evogliptin
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05D - COUGH SUPPRESSANTS -  EXCL. COMBINATIONS WITH EXPECTORANTS;R05DA - Opium alkaloids and derivatives -  cough suppressants;R05DA06 - normethadone
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XA - Electrolyte solutions;B05XA05 - magnesium sulfate
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AH - Quinoline derivatives -  antiseptics and disinfectants;D08AH03 - oxyquinoline
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AC - Imidazole and triazole derivatives -  topical antifungals;D01AC18 - luliconazole
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AD - Butyrophenone derivatives -  antipsychotics;N05AD09 - fluanisone
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B02 - ANTIHEMORRHAGICS;B02B - VITAMIN K AND OTHER HEMOSTATICS;B02BD - Blood coagulation factors;B02BD07 - coagulation factor XIII
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AC - Imidazole and triazole derivatives -  topical antifungals;D01AC05 - isoconazole
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AC - Antiallergic nasal preparations for topical use -  excl. corticosteroids;R01AC03 - azelastine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A01 - STOMATOLOGICAL PREPARATIONS;A01A - STOMATOLOGICAL PREPARATIONS;A01AB - Antiinfectives and antiseptics for local oral treatment;A01AB09 - miconazole
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H05 - CALCIUM HOMEOSTASIS;H05A - PARATHYROID HORMONES AND ANALOGUES;H05AA - Parathyroid hormones and analogues;H05AA03 - parathyroid hormone
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AX - Other antivirals in ATC;J05AX21 - pentanedioic acid imidazolyl ethanamide
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05C - EXPECTORANTS -  EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS;R05CA - Expectorants;R05CA10 - expectorant combinations excluding combinations with cough suppressants
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;G03AB - Progestogens and estrogens systemic contraceptives -  sequential preparations;G03AB02 - lynestrenol and ethinylestradiol
J - ANTIINFECTIVES FOR SYSTEMIC USE;J06 - IMMUNE SERA AND IMMUNOGLOBULINS;J06B - IMMUNOGLOBULINS;J06BB - Specific immunoglobulins;J06BB14 - measles immunoglobulin
J - ANTIINFECTIVES FOR SYSTEMIC USE;J04 - ANTIMYCOBACTERIALS;J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS;J04AA - Aminosalicylic acid and derivatives;J04AA01 - 4-aminosalicylic acid
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DI - Other cephalosporins and penems in ATC;J01DI54 - ceftolozane and beta-lactamase inhibitor
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07B - BETA BLOCKING AGENTS AND THIAZIDES;C07BB - Beta blocking agents -  selective -  and thiazides;C07BB04 - acebutolol and thiazides
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE50 - abemaciclib
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01E - ANTIGLAUCOMA PREPARATIONS AND MIOTICS;S01ED - Beta blocking agents -  antiglaucoma preparations and miotics;S01ED01 - timolol
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AD - Enzymes -  antithrombotic;B01AD02 - alteplase
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10B - LIPID MODIFYING AGENTS -  COMBINATIONS;C10BX - HMG CoA reductase inhibitors -  other combinations;C10BX04 - simvastatin -  acetylsalicylic acid and ramipril
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05A - BLOOD AND RELATED PRODUCTS;B05AA - Blood substitutes and plasma protein fractions;B05AA07 - hydroxyethylstarch
J - ANTIINFECTIVES FOR SYSTEMIC USE;J04 - ANTIMYCOBACTERIALS;J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS;J04AD - Thiocarbamide derivatives for treatment of tuberculosis;J04AD02 - tiocarlide
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A07 - ANTIDIARRHEALS -  INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS;A07B - INTESTINAL ADSORBENTS;A07BC - Other intestinal adsorbents in ATC;A07BC30 - Other intestinal adsorbent combinations in ATC
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AX - Other antiinfectives in ATC;S01AX02 - silver compounds
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01C - SPECIFIC ANTIRHEUMATIC AGENTS;M01CB - Gold preparations;M01CB02 - sodium aurotiosulfate
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07B - CORTICOSTEROIDS -  COMBINATIONS WITH ANTISEPTICS;D07BA - Corticosteroids -  weak -  combinations with antiseptics;D07BA01 - prednisolone and antiseptics
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01B - ANTIINFLAMMATORY AGENTS -  OPHTHALMOLOGIC;S01BC - Antiinflammatory agents -  non-steroidal -  ophthalmologic;S01BC03 - diclofenac
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01B - ANTIARRHYTHMICS -  CLASS I AND III;C01BD - Antiarrhythmics -  class III;C01BD02 - bretylium tosilate
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01C - BETA-LACTAM ANTIBACTERIALS -  PENICILLINS;J01CA - Penicillins with extended spectrum;J01CA06 - bacampicillin
C - CARDIOVASCULAR SYSTEM DRUGS;C03 - DIURETICS;C03E - DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION;C03EA - Low-ceiling diuretics and potassium-sparing agents;C03EA03 - epitizide and potassium-sparing agents
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BA - Salicylic acid and derivatives -  analgesics and antipyretics;N02BA77 - ethenzamide -  combinations with psycholeptics
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02BD - Combinations for eradication of Helicobacter pylori;A02BD04 - pantoprazole -  amoxicillin and clarithromycin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX14 - tretinoin
N - NERVOUS SYSTEM DRUGS;N03 - ANTIEPILEPTICS;N03A - ANTIEPILEPTICS;N03AX - Other antiepileptics in ATC;N03AX16 - pregabalin
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01B - ANTIINFLAMMATORY AGENTS -  OPHTHALMOLOGIC;S01BA - Corticosteroid ophthalmologic antiinflammatory agents -  plain;S01BA05 - triamcinolone
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AB - Sulfonamides -  ophthalmologic antiinfectives;S01AB03 - sulfadicramide
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07C - CORTICOSTEROIDS -  COMBINATIONS WITH ANTIBIOTICS;D07CB - Corticosteroids -  moderately potent -  combinations with antibiotics;D07CB04 - dexamethasone and antibiotics
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P03 - ECTOPARASITICIDES -  INCL. SCABICIDES -  INSECTICIDES AND REPELLENTS;P03B - INSECTICIDES AND REPELLENTS;P03BX - Other insecticides and repellents in ATC;P03BX06 - etohexadiol
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AE - Protease inhibitors -  direct acting antivirals;J05AE10 - darunavir
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01M - QUINOLONE ANTIBACTERIALS;J01MA - Fluoroquinolone antibacterials -  systemic;J01MA03 - pefloxacin
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07F - BETA BLOCKING AGENTS -  OTHER COMBINATIONS;C07FX - Beta blocking agents -  other combinations;C07FX05 - metoprolol and ivabradine
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AL - Silver compounds -  antiseptics and disinfectants;D08AL01 - silver nitrate
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01G - DECONGESTANTS AND ANTIALLERGICS;S01GA - Sympathomimetics used as decongestants;S01GA52 - tetryzoline -  combinations
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AX - Other opioids in ATC;N02AX02 - tramadol
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16AX - Various alimentary tract and metabolism products;A16AX07 - sapropterin
S - SENSORY ORGAN DRUGS;S02 - OTOLOGICALS;S02A - ANTIINFECTIVE DRUGS -  OTOLOGIC;S02AA - Antiinfectives;S02AA30 - antiinfectives -  combinations
V - VARIOUS DRUG CLASSES IN ATC;V04 - DIAGNOSTIC AGENTS;V04C - OTHER DIAGNOSTIC AGENTS in ATC;V04CC - Diagnostic agents for bile duct patency testing;V04CC02 - magnesium sulfate
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DC - Second-generation cephalosporins;J01DC03 - cefamandole
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AB - Phenylpiperidine derivatives -  opioid analgesics;N02AB03 - fentanyl
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01E - SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE;J01ED - Long-acting sulfonamides;J01ED06 - sulfaperin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XC - Monoclonal antibodies -  antineoplastic;L01XC22 - necitumumab
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01B - ANTIINFLAMMATORY AGENTS -  OPHTHALMOLOGIC;S01BA - Corticosteroid ophthalmologic antiinflammatory agents -  plain;S01BA08 - medrysone
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P01 - ANTIPROTOZOALS;P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES;P01AB - Nitroimidazole derivatives -  antiprotozoal agents against amoebiasis and other protozoal diseases;P01AB01 - metronidazole
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L04 - IMMUNOSUPPRESSANTS;L04A - IMMUNOSUPPRESSANTS;L04AD - Calcineurin inhibitors;L04AD02 - tacrolimus
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09I - TUMOUR DETECTION RADIOPHARMACEUTICALS;V09IX - Other diagnostic radiopharmaceuticals for tumour detection in ATC;V09IX11 - fluoroestradiol (18F)
C - CARDIOVASCULAR SYSTEM DRUGS;C04 - PERIPHERAL VASODILATORS;C04A - PERIPHERAL VASODILATORS;C04AX - Other peripheral vasodilators in ATC;C04AX24 - visnadine
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AD - Nicotinic acid and derivatives -  lipid modifying -  plain;C10AD04 - aluminium nicotinate
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01A - ANESTHETICS -  GENERAL;N01AH - Opioid anesthetics;N01AH06 - remifentanil
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H01 - PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES;H01B - POSTERIOR PITUITARY LOBE HORMONES;H01BA - Vasopressin and analogues;H01BA01 - vasopressin (argipressin)
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01A - CARDIAC GLYCOSIDES;C01AX - Other cardiac glycosides in ATC;C01AX02 - peruvoside
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AB - Interferons;L03AB05 - interferon alfa-2b
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01L - OCULAR VASCULAR DISORDER AGENTS;S01LA - Antineovascularisation agents;S01LA02 - anecortave
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07A - CORTICOSTEROID DERMATOLOGICAL PREPARATIONS -  PLAIN;D07AB - Corticosteroids -  moderately potent (group II);D07AB09 - triamcinolone
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01B - ANTIARRHYTHMICS -  CLASS I AND III;C01BA - Antiarrhythmics -  class Ia;C01BA02 - procainamide
D - DERMATOLOGICALS;D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE;D06BA - Sulfonamides -  topical;D06BA06 - sulfamerazine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01A - Tetracycline antibiotics;J01AA - Tetracyclines;J01AA20 - combinations of tetracyclines
C - CARDIOVASCULAR SYSTEM DRUGS;C03 - DIURETICS;C03C - HIGH-CEILING DIURETICS;C03CB - Sulfonamides and potassium in combination -  high-ceiling diruetics -  excluding thiazides;C03CB02 - bumetanide and potassium
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BA - Benzodiazepine derivative anxiolytics;N05BA06 - lorazepam
N - NERVOUS SYSTEM DRUGS;N04 - ANTI-PARKINSON DRUGS;N04B - DOPAMINERGIC AGENTS;N04BC - Dopamine agonists;N04BC03 - dihydroergocryptine mesylate
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P01 - ANTIPROTOZOALS;P01B - ANTIMALARIALS;P01BA - Aminoquinoline antimalarials;P01BA03 - primaquine
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AX - Other opioids in ATC;N02AX05 - meptazinol
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AG - Non-nucleoside reverse transcriptase inhibitors;J05AG05 - rilpivirine
D - DERMATOLOGICALS;D05 - ANTIPSORIATICS;D05B - ANTIPSORIATICS FOR SYSTEMIC USE;D05BB - Retinoids for treatment of psoriasis;D05BB01 - etretinate
M - MUSCULO-SKELETAL SYSTEM DRUGS;M03 - MUSCLE RELAXANTS;M03A - MUSCLE RELAXANTS -  PERIPHERALLY ACTING AGENTS;M03AA - Curare alkaloid muscle relaxants -  peripherally acting;M03AA02 - tubocurarine
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H02 - CORTICOSTEROIDS FOR SYSTEMIC USE;H02A - CORTICOSTEROIDS FOR SYSTEMIC USE -  PLAIN;H02AB - Glucocorticoids -  Systemic;H02AB07 - prednisone
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06B - PSYCHOSTIMULANTS -  AGENTS USED FOR ADHD AND NOOTROPICS;N06BX - Other psychostimulants and nootropics in ATC;N06BX13 - idebenone
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03F - PROPULSIVES;A03FA - Propulsives;A03FA04 - bromopride
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03D - PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03DB - Pregnadien derivatives -  progestogens;G03DB07 - promegestone
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AE - Direct thrombin inhibitors;B01AE07 - dabigatran etexilate
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BD - Combinations of oral blood glucose lowering drugs;A10BD04 - glimepiride and rosiglitazone
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01C - BETA-LACTAM ANTIBACTERIALS -  PENICILLINS;J01CE - Beta-lactamase sensitive penicillins;J01CE04 - azidocillin
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H01 - PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES;H01A - ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES;H01AC - Somatropin and somatropin agonists;H01AC02 - somatrem
M - MUSCULO-SKELETAL SYSTEM DRUGS;M03 - MUSCLE RELAXANTS;M03B - MUSCLE RELAXANTS -  CENTRALLY ACTING AGENTS;M03BX - Other centrally acting agents in ATC;M03BX07 - tetrazepam
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;G03AA - Progestogens and estrogen systemic contraceptives -  fixed combinations;G03AA09 - desogestrel and ethinylestradiol
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AP - Antivirals for treatment of HCV infections;J05AP04 - faldaprevir
D - DERMATOLOGICALS;D10 - ANTI-ACNE PREPARATIONS;D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE;D10AF - Antiinfectives for treatment of acne;D10AF05 - nadifloxacin
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07D - BETA BLOCKING AGENTS -  THIAZIDES AND OTHER DIURETICS;C07DA - Beta blocking agents -  non-selective -  thiazides and other diuretics;C07DA06 - timolol -  thiazides and other diuretics
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AX - Other antiseptics and disinfectants in ATC;D08AX01 - hydrogen peroxide
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AA - Non-selective monoamine reuptake inhibitors;N06AA11 - protriptyline
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AH - Coxibs;M01AH03 - valdecoxib
D - DERMATOLOGICALS;D11 - OTHER DERMATOLOGICAL PREPARATIONS in ATC;D11A - OTHER DERMATOLOGICAL PREPARATIONS in ATC;D11AX - OTHER DERMATOLOGICAL PREPARATIONS IN ATC;D11AX02 - gamolenic acid
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01G - DECONGESTANTS AND ANTIALLERGICS;S01GA - Sympathomimetics used as decongestants;S01GA05 - phenylephrine
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B03 - ANTIANEMIC PREPARATIONS;B03A - IRON ANTIANEMIC PREPARATIONS;B03AB - Iron trivalent -  oral antianemic preparations;B03AB01 - ferric sodium citrate
M - MUSCULO-SKELETAL SYSTEM DRUGS;M03 - MUSCLE RELAXANTS;M03B - MUSCLE RELAXANTS -  CENTRALLY ACTING AGENTS;M03BB - Oxazol -  thiazine -  and triazine derivatives centrally acting muscle relaxants;M03BB52 - chlormezanone -  combinations excl. psycholeptics
